@relation wineQuality

@attribute fixedAcidity numeric
@attribute volatileAcidity numeric
@attribute citricAcid numeric
@attribute residualSugar numeric
@attribute chlorides numeric
@attribute freeSulfurDioxide numeric
@attribute totalSulfurDioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333,5
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5
5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5
6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,5
7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5
6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6,5
6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,5
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,5
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5
7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5
6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,5
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5
6,0.32,0.3,7.3,0.174,46,159,0.99519,3.18,0.49,9.4,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5
6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,5
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5
7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5
6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5
7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,5
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5
7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5
6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5
7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,5
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,5
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5
